,Indicatori,Curve_r2,Line_r2
2,Soddisfazione famiglia,0.64,0.64
5,Soddisfazione media,0.58,0.58
1,Soddisfazione salute,0.56,0.54
3,Soddisfazione amici,0.55,0.54
4,Soddisfazione tempo,0.51,0.51
0,Soddisfazione economica,0.48,0.48
