,Indicatori,Curve_r2,Line_r2
3,Soddisfazione amici,0.58,0.56
2,Soddisfazione famiglia,0.56,0.55
5,Soddisfazione media,0.56,0.56
4,Soddisfazione tempo,0.53,0.52
1,Soddisfazione salute,0.52,0.51
0,Soddisfazione economica,0.45,0.45
